,mae_copy,loss,nmse_train,nmse,mse,mae,lossv,nmse_test,nmsev,msev,maev
269711,4.12974641,0.00230662,0.00230662,0.00321962,0.01544080,0.08628333,0.00230596,0.00230596,0.00321836,0.01543213,0.08624104
269811,4.12978397,0.00230598,0.00230598,0.00321872,0.01543287,0.08625941,0.00230532,0.00230532,0.00321746,0.01542421,0.08621716
269911,4.12978938,0.00230532,0.00230532,0.00321781,0.01542494,0.08623435,0.00230466,0.00230466,0.00321655,0.01541629,0.08619213
270011,4.12975248,0.00230469,0.00230469,0.00321693,0.01541727,0.08621111,0.00230403,0.00230403,0.00321568,0.01540862,0.08616892
270111,4.12979092,0.00230405,0.00230405,0.00321606,0.01540963,0.08618696,0.00230340,0.00230340,0.00321480,0.01540099,0.08614482
270211,4.12981060,0.00230342,0.00230342,0.00321519,0.01540188,0.08616279,0.00230276,0.00230276,0.00321394,0.01539325,0.08612068
270311,4.12979442,0.00230278,0.00230278,0.00321430,0.01539404,0.08613897,0.00230212,0.00230212,0.00321305,0.01538542,0.08609689
270411,4.12978082,0.00230214,0.00230214,0.00321339,0.01538611,0.08611493,0.00230148,0.00230148,0.00321214,0.01537750,0.08607288
270511,4.12976913,0.00230149,0.00230149,0.00321253,0.01537829,0.08609099,0.00230084,0.00230084,0.00321128,0.01536968,0.08604897
270611,4.12976647,0.00230086,0.00230086,0.00321167,0.01537067,0.08606692,0.00230020,0.00230020,0.00321041,0.01536207,0.08602494
270711,4.12967245,0.00230021,0.00230021,0.00321073,0.01536270,0.08604291,0.00229955,0.00229955,0.00320948,0.01535411,0.08600097
270811,4.12970597,0.00229957,0.00229957,0.00320987,0.01535499,0.08601892,0.00229892,0.00229892,0.00320862,0.01534640,0.08597701
270911,4.12975411,0.00229895,0.00229895,0.00320901,0.01534738,0.08599533,0.00229829,0.00229829,0.00320776,0.01533880,0.08595345
271011,4.12975094,0.00229832,0.00229832,0.00320813,0.01533972,0.08597182,0.00229766,0.00229766,0.00320688,0.01533115,0.08592998
271111,4.12976789,0.00229769,0.00229769,0.00320729,0.01533205,0.08594809,0.00229704,0.00229704,0.00320604,0.01532348,0.08590628
271211,4.12977946,0.00229705,0.00229705,0.00320640,0.01532425,0.08592398,0.00229639,0.00229639,0.00320515,0.01531568,0.08588209
271311,4.12976803,0.00229641,0.00229641,0.00320551,0.01531657,0.08589999,0.00229576,0.00229576,0.00320426,0.01530800,0.08585814
271411,4.12972624,0.00229578,0.00229578,0.00320464,0.01530883,0.08587610,0.00229513,0.00229513,0.00320338,0.01530025,0.08583416
271511,4.12970679,0.00229515,0.00229515,0.00320376,0.01530124,0.08585215,0.00229449,0.00229449,0.00320251,0.01529266,0.08581025
271611,4.12969264,0.00229452,0.00229452,0.00320289,0.01529381,0.08582882,0.00229387,0.00229387,0.00320164,0.01528523,0.08578692
271711,4.12966243,0.00229388,0.00229388,0.00320199,0.01528594,0.08580477,0.00229323,0.00229323,0.00320074,0.01527738,0.08576290
271811,4.12968883,0.00229327,0.00229327,0.00320113,0.01527850,0.08578202,0.00229261,0.00229261,0.00319988,0.01526994,0.08574019
271911,4.12972032,0.00229265,0.00229265,0.00320028,0.01527111,0.08575940,0.00229200,0.00229200,0.00319903,0.01526256,0.08571760
272011,4.12974919,0.00229204,0.00229204,0.00319944,0.01526406,0.08573657,0.00229139,0.00229139,0.00319819,0.01525551,0.08569481
272111,4.12974201,0.00229141,0.00229141,0.00319854,0.01525621,0.08571345,0.00229076,0.00229076,0.00319730,0.01524767,0.08567172
272211,4.12974242,0.00229078,0.00229078,0.00319770,0.01524867,0.08568970,0.00229013,0.00229013,0.00319645,0.01524014,0.08564800
272311,4.12972723,0.00229016,0.00229016,0.00319683,0.01524093,0.08566633,0.00228950,0.00228950,0.00319558,0.01523241,0.08562466
272411,4.12970065,0.00228953,0.00228953,0.00319595,0.01523334,0.08564283,0.00228888,0.00228888,0.00319470,0.01522482,0.08560120
272511,4.12973764,0.00228892,0.00228892,0.00319512,0.01522597,0.08562059,0.00228827,0.00228827,0.00319388,0.01521746,0.08557898
272611,4.12974034,0.00228831,0.00228831,0.00319430,0.01521856,0.08559747,0.00228766,0.00228766,0.00319306,0.01521006,0.08555591
272711,4.12972072,0.00228770,0.00228770,0.00319347,0.01521135,0.08557502,0.00228705,0.00228705,0.00319223,0.01520285,0.08553349
272811,4.12969759,0.00228709,0.00228709,0.00319263,0.01520400,0.08555166,0.00228644,0.00228644,0.00319139,0.01519551,0.08551015
272911,4.12970362,0.00228647,0.00228647,0.00319179,0.01519653,0.08552819,0.00228582,0.00228582,0.00319055,0.01518804,0.08548672
273011,4.12973944,0.00228586,0.00228586,0.00319093,0.01518903,0.08550577,0.00228521,0.00228521,0.00318969,0.01518055,0.08546434
273111,4.12972494,0.00228524,0.00228524,0.00319005,0.01518149,0.08548319,0.00228460,0.00228460,0.00318882,0.01517302,0.08544178
273211,4.12972356,0.00228462,0.00228462,0.00318917,0.01517377,0.08545958,0.00228397,0.00228397,0.00318793,0.01516529,0.08541812
273311,4.12974768,0.00228402,0.00228402,0.00318836,0.01516673,0.08543714,0.00228337,0.00228337,0.00318712,0.01515825,0.08539571
273411,4.12979094,0.00228341,0.00228341,0.00318753,0.01515951,0.08541388,0.00228276,0.00228276,0.00318629,0.01515103,0.08537248
273511,4.12980800,0.00228279,0.00228279,0.00318668,0.01515225,0.08539079,0.00228214,0.00228214,0.00318544,0.01514379,0.08534942
273611,4.12977470,0.00228218,0.00228218,0.00318584,0.01514474,0.08536804,0.00228153,0.00228153,0.00318460,0.01513628,0.08532671
273711,4.12979078,0.00228157,0.00228157,0.00318498,0.01513764,0.08534531,0.00228093,0.00228093,0.00318374,0.01512919,0.08530401
273811,4.12983079,0.00228096,0.00228096,0.00318414,0.01513020,0.08532276,0.00228032,0.00228032,0.00318291,0.01512176,0.08528149
273911,4.12983472,0.00228036,0.00228036,0.00318329,0.01512303,0.08530015,0.00227971,0.00227971,0.00318206,0.01511459,0.08525891
274011,4.12983364,0.00227975,0.00227975,0.00318244,0.01511547,0.08527759,0.00227910,0.00227910,0.00318120,0.01510704,0.08523639
274111,4.12986925,0.00227914,0.00227914,0.00318157,0.01510805,0.08525530,0.00227849,0.00227849,0.00318034,0.01509963,0.08521413
274211,4.12985930,0.00227853,0.00227853,0.00318073,0.01510062,0.08523288,0.00227788,0.00227788,0.00317950,0.01509220,0.08519174
274311,4.12987123,0.00227793,0.00227793,0.00317991,0.01509325,0.08521000,0.00227728,0.00227728,0.00317868,0.01508483,0.08516889
274411,4.12991962,0.00227733,0.00227733,0.00317910,0.01508608,0.08518810,0.00227669,0.00227669,0.00317787,0.01507767,0.08514702
274511,4.12990767,0.00227673,0.00227673,0.00317827,0.01507868,0.08516573,0.00227609,0.00227609,0.00317705,0.01507028,0.08512469
274611,4.12993703,0.00227613,0.00227613,0.00317745,0.01507123,0.08514296,0.00227548,0.00227548,0.00317622,0.01506284,0.08510195
274711,4.12994926,0.00227553,0.00227553,0.00317662,0.01506388,0.08512064,0.00227489,0.00227489,0.00317539,0.01505549,0.08507966
274811,4.12992617,0.00227504,0.00227504,0.00317604,0.01505800,0.08510239,0.00227440,0.00227440,0.00317481,0.01504962,0.08506144
274911,4.12994554,0.00227444,0.00227444,0.00317515,0.01505066,0.08507962,0.00227380,0.00227380,0.00317393,0.01504227,0.08503859
275011,4.12996987,0.00227385,0.00227385,0.00317432,0.01504337,0.08505732,0.00227320,0.00227320,0.00317309,0.01503499,0.08501633
275111,4.12996815,0.00227326,0.00227326,0.00317351,0.01503630,0.08503584,0.00227262,0.00227262,0.00317229,0.01502793,0.08499488
275211,4.12999809,0.00227267,0.00227267,0.00317270,0.01502902,0.08501329,0.00227203,0.00227203,0.00317147,0.01502065,0.08497236
275311,4.13000657,0.00227207,0.00227207,0.00317185,0.01502172,0.08499071,0.00227143,0.00227143,0.00317063,0.01501336,0.08494981
275411,4.13000501,0.00227147,0.00227147,0.00317103,0.01501461,0.08496837,0.00227083,0.00227083,0.00316981,0.01500626,0.08492750
275511,4.13001484,0.00227096,0.00227096,0.00317041,0.01500869,0.08494950,0.00227032,0.00227032,0.00316918,0.01500035,0.08490866
275611,4.13001368,0.00227039,0.00227039,0.00316959,0.01500180,0.08492849,0.00226975,0.00226975,0.00316837,0.01499346,0.08488768
275711,4.13005181,0.00226980,0.00226980,0.00316877,0.01499454,0.08490602,0.00226916,0.00226916,0.00316755,0.01498620,0.08486524
275811,4.13006336,0.00226920,0.00226920,0.00316793,0.01498722,0.08488351,0.00226856,0.00226856,0.00316671,0.01497889,0.08484277
275911,4.13002470,0.00226861,0.00226861,0.00316712,0.01497989,0.08486150,0.00226798,0.00226798,0.00316590,0.01497157,0.08482079
276011,4.13005632,0.00226802,0.00226802,0.00316626,0.01497255,0.08483860,0.00226738,0.00226738,0.00316505,0.01496424,0.08479792
276111,4.13008897,0.00226744,0.00226744,0.00316546,0.01496552,0.08481678,0.00226680,0.00226680,0.00316424,0.01495721,0.08477613
276211,4.13009494,0.00226685,0.00226685,0.00316465,0.01495831,0.08479447,0.00226621,0.00226621,0.00316344,0.01495000,0.08475385
276311,4.13011315,0.00226625,0.00226625,0.00316382,0.01495097,0.08477151,0.00226562,0.00226562,0.00316261,0.01494268,0.08473093
276411,4.13010563,0.00226567,0.00226567,0.00316300,0.01494382,0.08474993,0.00226503,0.00226503,0.00316179,0.01493554,0.08470938
276511,4.13010833,0.00226509,0.00226509,0.00316220,0.01493690,0.08472841,0.00226445,0.00226445,0.00316099,0.01492862,0.08468788
276611,4.13011808,0.00226450,0.00226450,0.00316139,0.01493014,0.08470645,0.00226387,0.00226387,0.00316018,0.01492186,0.08466596
276711,4.13011546,0.00226391,0.00226391,0.00316058,0.01492305,0.08468426,0.00226328,0.00226328,0.00315937,0.01491478,0.08464380
276811,4.13013466,0.00226333,0.00226333,0.00315978,0.01491619,0.08466233,0.00226270,0.00226270,0.00315857,0.01490793,0.08462190
276911,4.13010620,0.00226274,0.00226274,0.00315897,0.01490922,0.08464045,0.00226211,0.00226211,0.00315776,0.01490096,0.08460006
277011,4.13011639,0.00226216,0.00226216,0.00315814,0.01490224,0.08461854,0.00226153,0.00226153,0.00315693,0.01489399,0.08457817
277111,4.13008330,0.00226157,0.00226157,0.00315731,0.01489506,0.08459650,0.00226094,0.00226094,0.00315611,0.01488681,0.08455616
277211,4.13008385,0.00226099,0.00226099,0.00315651,0.01488814,0.08457449,0.00226036,0.00226036,0.00315531,0.01487991,0.08453419
277311,4.13007683,0.00226041,0.00226041,0.00315571,0.01488146,0.08455334,0.00225978,0.00225978,0.00315451,0.01487322,0.08451307
277411,4.13006817,0.00225983,0.00225983,0.00315489,0.01487449,0.08453178,0.00225920,0.00225920,0.00315368,0.01486624,0.08449134
277511,4.13004145,0.00225925,0.00225925,0.00315408,0.01486737,0.08450966,0.00225862,0.00225862,0.00315287,0.01485913,0.08446925
277611,4.13006165,0.00225866,0.00225866,0.00315326,0.01486022,0.08448770,0.00225803,0.00225803,0.00315206,0.01485198,0.08444732
277711,4.13008084,0.00225808,0.00225808,0.00315247,0.01485317,0.08446640,0.00225745,0.00225745,0.00315126,0.01484494,0.08442605
277811,4.13008036,0.00225751,0.00225751,0.00315168,0.01484617,0.08444510,0.00225688,0.00225688,0.00315047,0.01483794,0.08440478
277911,4.13007449,0.00225700,0.00225700,0.00315103,0.01483996,0.08442562,0.00225637,0.00225637,0.00314982,0.01483174,0.08438533
278011,4.13011056,0.00225643,0.00225643,0.00315022,0.01483307,0.08440445,0.00225580,0.00225580,0.00314901,0.01482486,0.08436420
278111,4.13013904,0.00225586,0.00225586,0.00314946,0.01482634,0.08438359,0.00225524,0.00225524,0.00314826,0.01481813,0.08434337
278211,4.13007324,0.00225528,0.00225528,0.00314864,0.01481905,0.08436127,0.00225465,0.00225465,0.00314744,0.01481085,0.08432108
278311,4.13007390,0.00225471,0.00225471,0.00314785,0.01481218,0.08434008,0.00225409,0.00225409,0.00314665,0.01480398,0.08429992
278411,4.13008840,0.00225415,0.00225415,0.00314707,0.01480526,0.08431951,0.00225352,0.00225352,0.00314587,0.01479708,0.08427938
278511,4.13008430,0.00225359,0.00225359,0.00314629,0.01479852,0.08429875,0.00225296,0.00225296,0.00314508,0.01479031,0.08425843
278611,4.13008608,0.00225302,0.00225302,0.00314550,0.01479170,0.08427720,0.00225239,0.00225239,0.00314430,0.01478352,0.08423696
278711,4.13006200,0.00225245,0.00225245,0.00314471,0.01478490,0.08425604,0.00225182,0.00225182,0.00314351,0.01477672,0.08421584
278811,4.13007726,0.00225188,0.00225188,0.00314390,0.01477797,0.08423453,0.00225125,0.00225125,0.00314270,0.01476980,0.08419436
278911,4.13006499,0.00225131,0.00225131,0.00314313,0.01477119,0.08421357,0.00225068,0.00225068,0.00314193,0.01476302,0.08417343
279011,4.13008423,0.00225073,0.00225073,0.00314235,0.01476413,0.08419127,0.00225010,0.00225010,0.00314115,0.01475596,0.08415116
279111,4.13004873,0.00225018,0.00225018,0.00314157,0.01475766,0.08417102,0.00224955,0.00224955,0.00314037,0.01474950,0.08413094
279211,4.13002628,0.00224961,0.00224961,0.00314077,0.01475065,0.08414952,0.00224898,0.00224898,0.00313956,0.01474247,0.08410925
279311,4.13004038,0.00224905,0.00224905,0.00314001,0.01474395,0.08412913,0.00224842,0.00224842,0.00313881,0.01473578,0.08408890
279411,4.13001136,0.00224848,0.00224848,0.00313926,0.01473729,0.08410813,0.00224786,0.00224786,0.00313806,0.01472912,0.08406793
279511,4.12997305,0.00224792,0.00224792,0.00313845,0.01473049,0.08408702,0.00224729,0.00224729,0.00313725,0.01472231,0.08404668
279611,4.12997912,0.00224735,0.00224735,0.00313765,0.01472372,0.08406569,0.00224672,0.00224672,0.00313645,0.01471555,0.08402537
279711,4.13001103,0.00224679,0.00224679,0.00313688,0.01471699,0.08404502,0.00224616,0.00224616,0.00313568,0.01470882,0.08400474
279811,4.13003546,0.00224623,0.00224623,0.00313613,0.01471058,0.08402434,0.00224561,0.00224561,0.00313493,0.01470242,0.08398409
279911,4.13007296,0.00224569,0.00224569,0.00313534,0.01470383,0.08400429,0.00224506,0.00224506,0.00313414,0.01469567,0.08396407
280011,4.13011924,0.00224513,0.00224513,0.00313457,0.01469704,0.08398361,0.00224450,0.00224450,0.00313338,0.01468889,0.08394342
280111,4.13014741,0.00224457,0.00224457,0.00313379,0.01469012,0.08396253,0.00224394,0.00224394,0.00313259,0.01468198,0.08392237
280211,4.13016208,0.00224402,0.00224402,0.00313301,0.01468333,0.08394189,0.00224339,0.00224339,0.00313181,0.01467519,0.08390176
280311,4.13015364,0.00224345,0.00224345,0.00313222,0.01467653,0.08392078,0.00224283,0.00224283,0.00313102,0.01466840,0.08388067
