,mae_copy,loss,nmse_train,nmse,mse,mae,lossv,nmse_test,nmsev,msev,maev
16959,3.85089562,0.00842810,0.00842810,0.01157877,0.68158644,0.30056140,0.00837810,0.00837810,0.01149382,0.66085470,0.29848580
17059,3.85088863,0.00839124,0.00839124,0.01152731,0.67043305,0.29943477,0.00834213,0.00834213,0.01144386,0.65008401,0.29739613
17159,3.84999735,0.00835694,0.00835694,0.01148003,0.65972194,0.29843998,0.00830814,0.00830814,0.01139732,0.63973030,0.29641588
17259,3.84930519,0.00832292,0.00832292,0.01143399,0.64939389,0.29739087,0.00827501,0.00827501,0.01135278,0.62975903,0.29540367
17359,3.84960063,0.00828916,0.00828916,0.01138686,0.63939396,0.29637520,0.00824182,0.00824182,0.01130649,0.62009410,0.29440611
17459,3.84931977,0.00825740,0.00825740,0.01134300,0.62974311,0.29544721,0.00821063,0.00821063,0.01126330,0.61076447,0.29348819
17559,3.84976340,0.00822687,0.00822687,0.01129956,0.62041977,0.29457914,0.00818067,0.00818067,0.01122026,0.60175261,0.29262652
17659,3.84960599,0.00819690,0.00819690,0.01125845,0.61138836,0.29365722,0.00815034,0.00815034,0.01117808,0.59300534,0.29166325
17759,3.84995040,0.00816723,0.00816723,0.01121711,0.60265624,0.29275006,0.00812114,0.00812114,0.01113734,0.58456407,0.29076718
17859,3.85033512,0.00813789,0.00813789,0.01117711,0.59419053,0.29184700,0.00809266,0.00809266,0.01109880,0.57639238,0.28990192
17959,3.85048062,0.00811015,0.00811015,0.01113842,0.58596567,0.29099582,0.00806507,0.00806507,0.01106000,0.56843555,0.28904599
18059,3.85081287,0.00808188,0.00808188,0.01109884,0.57799283,0.29011193,0.00803763,0.00803763,0.01102191,0.56074371,0.28818152
18159,3.84996001,0.00805543,0.00805543,0.01106261,0.57029572,0.28934255,0.00801180,0.00801180,0.01098630,0.55330660,0.28741545
18259,3.84991721,0.00806276,0.00806276,0.01110345,0.56500078,0.28937216,0.00801977,0.00801977,0.01102806,0.54826822,0.28747511
18359,3.84942927,0.00804888,0.00804888,0.01110021,0.55833983,0.28879984,0.00800652,0.00800652,0.01102597,0.54185588,0.28693031
18459,3.84911786,0.00803164,0.00803164,0.01108222,0.55157285,0.28824947,0.00798933,0.00798933,0.01100794,0.53531572,0.28637639
18559,3.84940254,0.00801295,0.00801295,0.01105974,0.54491993,0.28770206,0.00797083,0.00797083,0.01098543,0.52887983,0.28581799
18659,3.84901122,0.00799499,0.00799499,0.01103605,0.53839869,0.28718557,0.00795313,0.00795313,0.01096214,0.52257863,0.28530867
18759,3.84896811,0.00797659,0.00797659,0.01101007,0.53203020,0.28666757,0.00793508,0.00793508,0.01093657,0.51642120,0.28479655
18859,3.84836909,0.00795738,0.00795738,0.01098261,0.52577899,0.28603529,0.00791641,0.00791641,0.01091010,0.51038633,0.28418875
18959,3.84925617,0.00793832,0.00793832,0.01095569,0.51970114,0.28543040,0.00789745,0.00789745,0.01088340,0.50450919,0.28358623
19059,3.84855237,0.00791912,0.00791912,0.01092736,0.51379516,0.28487489,0.00787861,0.00787861,0.01085565,0.49880458,0.28304429
19159,3.84851977,0.00789951,0.00789951,0.01089965,0.50802813,0.28425743,0.00785817,0.00785817,0.01082671,0.49320241,0.28238263
19259,3.84886698,0.00788038,0.00788038,0.01087167,0.50237581,0.28367667,0.00783950,0.00783950,0.01079955,0.48774313,0.28182232
19359,3.84815426,0.00786057,0.00786057,0.01084334,0.49683956,0.28303625,0.00781980,0.00781980,0.01077131,0.48238595,0.28117941
19459,3.84831028,0.00784205,0.00784205,0.01081755,0.49148591,0.28248648,0.00780143,0.00780143,0.01074573,0.47720781,0.28063061
19559,3.84791030,0.00782252,0.00782252,0.01079105,0.48623910,0.28187730,0.00778134,0.00778134,0.01071805,0.47211045,0.27997182
19659,3.84695045,0.00780391,0.00780391,0.01076400,0.48109977,0.28127024,0.00776321,0.00776321,0.01069186,0.46714683,0.27938675
19759,3.84699273,0.00778567,0.00778567,0.01073694,0.47609727,0.28071686,0.00774541,0.00774541,0.01066553,0.46231267,0.27885143
19859,3.84715879,0.00776739,0.00776739,0.01071138,0.47119920,0.28010590,0.00772756,0.00772756,0.01064076,0.45758122,0.27826051
19959,3.84718305,0.00774891,0.00774891,0.01068468,0.46640695,0.27951098,0.00770925,0.00770925,0.01061441,0.45294609,0.27767281
20059,3.84759009,0.00770880,0.00770880,0.01063121,0.46137803,0.27812853,0.00766958,0.00766958,0.01056174,0.44807721,0.27631075
